#,s,V vs. Ref.,V,V,bits
3864,3896.2,5.94E-01,5.94E-01,-3.47E-04,...........
3865,3897.21,5.94E-01,5.94E-01,-3.43E-04,...........
3866,3898.22,5.94E-01,5.94E-01,-3.42E-04,...........
3867,3899.22,5.94E-01,5.94E-01,-3.42E-04,...........
3868,3900.23,5.94E-01,5.94E-01,-3.43E-04,...........
3869,3901.24,5.94E-01,5.94E-01,-3.37E-04,...........
3870,3902.25,5.94E-01,5.94E-01,-3.42E-04,...........
3871,3903.26,5.94E-01,5.94E-01,-3.41E-04,...........
3872,3904.27,5.94E-01,5.94E-01,-3.41E-04,...........
3873,3905.27,5.94E-01,5.94E-01,-3.39E-04,...........
3874,3906.28,5.94E-01,5.94E-01,-3.42E-04,...........
3875,3907.29,5.94E-01,5.94E-01,-3.41E-04,...........
3876,3908.3,5.94E-01,5.94E-01,-3.38E-04,...........
3877,3909.31,5.94E-01,5.94E-01,-3.35E-04,...........
3878,3910.32,5.94E-01,5.94E-01,-3.38E-04,...........
3879,3911.32,5.94E-01,5.94E-01,-3.42E-04,...........
3880,3912.33,5.94E-01,5.94E-01,-3.43E-04,...........
3881,3913.34,5.94E-01,5.94E-01,-3.38E-04,...........
3882,3914.35,5.94E-01,5.93E-01,-3.43E-04,...........
3883,3915.36,5.94E-01,5.93E-01,-3.38E-04,...........
3884,3916.37,5.94E-01,5.93E-01,-3.37E-04,...........
3885,3917.37,5.93E-01,5.93E-01,-3.35E-04,...........
3886,3918.38,5.93E-01,5.93E-01,-3.38E-04,...........
3887,3919.39,5.93E-01,5.93E-01,-3.43E-04,...........
3888,3920.4,5.93E-01,5.93E-01,-3.41E-04,...........
3889,3921.41,5.93E-01,5.93E-01,-3.40E-04,...........
3890,3922.42,5.93E-01,5.93E-01,-3.44E-04,...........
3891,3923.43,5.93E-01,5.93E-01,-3.43E-04,...........
3892,3924.43,5.93E-01,5.93E-01,-3.38E-04,...........
3893,3925.44,5.93E-01,5.93E-01,-3.42E-04,...........
3894,3926.45,5.93E-01,5.93E-01,-3.44E-04,...........
3895,3927.46,5.93E-01,5.93E-01,-3.39E-04,...........
3896,3928.47,5.93E-01,5.93E-01,-3.43E-04,...........
3897,3929.47,5.93E-01,5.93E-01,-3.39E-04,...........
3898,3930.48,5.93E-01,5.93E-01,-3.43E-04,...........
3899,3931.49,5.93E-01,5.93E-01,-3.43E-04,...........
3900,3932.5,5.93E-01,5.93E-01,-3.45E-04,...........
3901,3933.51,5.93E-01,5.93E-01,-3.42E-04,...........
3902,3934.52,5.93E-01,5.93E-01,-3.44E-04,...........
3903,3935.52,5.93E-01,5.93E-01,-3.41E-04,...........
3904,3936.53,5.93E-01,5.93E-01,-3.41E-04,...........
3905,3937.54,5.93E-01,5.93E-01,-3.46E-04,...........
3906,3938.55,5.93E-01,5.93E-01,-3.41E-04,...........
3907,3939.56,5.93E-01,5.93E-01,-3.45E-04,...........
3908,3940.57,5.93E-01,5.93E-01,-3.43E-04,...........
3909,3941.57,5.93E-01,5.93E-01,-3.43E-04,...........
3910,3942.58,5.93E-01,5.93E-01,-3.52E-04,...........
3911,3943.59,5.93E-01,5.93E-01,-3.46E-04,...........
3912,3944.6,5.93E-01,5.93E-01,-3.49E-04,...........
3913,3945.61,5.93E-01,5.93E-01,-3.46E-04,...........
3914,3946.62,5.93E-01,5.93E-01,-3.45E-04,...........
3915,3947.63,5.93E-01,5.93E-01,-3.51E-04,...........
3916,3948.63,5.93E-01,5.93E-01,-3.51E-04,...........
3917,3949.64,5.93E-01,5.93E-01,-3.49E-04,...........
3918,3950.65,5.93E-01,5.93E-01,-3.50E-04,...........
3919,3951.66,5.93E-01,5.93E-01,-3.48E-04,...........
3920,3952.67,5.93E-01,5.93E-01,-3.50E-04,...........
3921,3953.68,5.93E-01,5.93E-01,-3.47E-04,...........
3922,3954.68,5.93E-01,5.93E-01,-3.51E-04,...........
3923,3955.69,5.93E-01,5.93E-01,-3.48E-04,...........
3924,3956.7,5.93E-01,5.93E-01,-3.45E-04,...........
3925,3957.71,5.93E-01,5.93E-01,-3.53E-04,...........
3926,3958.72,5.93E-01,5.93E-01,-3.48E-04,...........
3927,3959.72,5.93E-01,5.93E-01,-3.47E-04,...........
3928,3960.73,5.93E-01,5.93E-01,-3.45E-04,...........
3929,3961.74,5.93E-01,5.93E-01,-3.45E-04,...........
3930,3962.75,5.93E-01,5.93E-01,-3.50E-04,...........
3931,3963.76,5.93E-01,5.93E-01,-3.48E-04,...........
3932,3964.77,5.93E-01,5.93E-01,-3.47E-04,...........
3933,3965.77,5.93E-01,5.93E-01,-3.46E-04,...........
3934,3966.78,5.93E-01,5.93E-01,-3.50E-04,...........
3935,3967.79,5.93E-01,5.93E-01,-3.46E-04,...........
3936,3968.8,5.93E-01,5.93E-01,-3.46E-04,...........
3937,3969.81,5.93E-01,5.93E-01,-3.48E-04,...........
3938,3970.82,5.93E-01,5.93E-01,-3.54E-04,...........
3939,3971.82,5.93E-01,5.93E-01,-3.47E-04,...........
3940,3972.83,5.93E-01,5.93E-01,-3.44E-04,...........
3941,3973.84,5.93E-01,5.93E-01,-3.43E-04,...........
3942,3974.85,5.93E-01,5.93E-01,-3.47E-04,...........
3943,3975.86,5.93E-01,5.93E-01,-3.50E-04,...........
3944,3976.87,5.93E-01,5.93E-01,-3.45E-04,...........
3945,3977.88,5.93E-01,5.93E-01,-3.43E-04,...........
3946,3978.88,5.93E-01,5.93E-01,-3.42E-04,...........
3947,3979.89,5.93E-01,5.93E-01,-3.44E-04,...........
3948,3980.9,5.93E-01,5.93E-01,-3.43E-04,...........
3949,3981.91,5.93E-01,5.93E-01,-3.52E-04,...........
3950,3982.92,5.93E-01,5.93E-01,-3.50E-04,...........
3951,3983.93,5.93E-01,5.93E-01,-3.54E-04,...........
3952,3984.93,5.93E-01,5.93E-01,-3.47E-04,...........
3953,3985.94,5.93E-01,5.93E-01,-3.44E-04,...........
3954,3986.95,5.93E-01,5.93E-01,-3.46E-04,...........
3955,3987.96,5.93E-01,5.93E-01,-3.50E-04,...........
3956,3988.97,5.93E-01,5.93E-01,-3.46E-04,...........
3957,3989.97,5.93E-01,5.93E-01,-3.40E-04,...........
3958,3990.98,5.93E-01,5.93E-01,-3.42E-04,...........
3959,3991.99,5.93E-01,5.93E-01,-3.40E-04,...........
3960,3993,5.93E-01,5.93E-01,-3.38E-04,...........
3961,3994.01,5.93E-01,5.93E-01,-3.42E-04,...........
3962,3995.02,5.93E-01,5.93E-01,-3.42E-04,...........
3963,3996.02,5.93E-01,5.93E-01,-3.44E-04,...........
3964,3997.03,5.93E-01,5.93E-01,-3.38E-04,...........
3965,3998.04,5.93E-01,5.93E-01,-3.45E-04,...........
3966,3999.05,5.93E-01,5.93E-01,-3.37E-04,...........
3967,4000.06,5.93E-01,5.93E-01,-3.43E-04,...........
3968,4001.07,5.93E-01,5.93E-01,-3.38E-04,...........
3969,4002.07,5.93E-01,5.93E-01,-3.40E-04,...........
3970,4003.08,5.93E-01,5.93E-01,-3.40E-04,...........
3971,4004.09,5.93E-01,5.93E-01,-3.45E-04,...........
3972,4005.1,5.93E-01,5.93E-01,-3.44E-04,...........
3973,4006.11,5.93E-01,5.93E-01,-3.42E-04,...........
3974,4007.12,5.93E-01,5.93E-01,-3.45E-04,...........
3975,4008.13,5.93E-01,5.93E-01,-3.44E-04,...........
3976,4009.13,5.93E-01,5.93E-01,-3.40E-04,...........
3977,4010.14,5.93E-01,5.93E-01,-3.45E-04,...........
3978,4011.15,5.93E-01,5.93E-01,-3.45E-04,...........
3979,4012.16,5.93E-01,5.93E-01,-3.42E-04,...........
3980,4013.17,5.93E-01,5.93E-01,-3.44E-04,...........
3981,4014.18,5.93E-01,5.93E-01,-3.49E-04,...........
3982,4015.18,5.93E-01,5.93E-01,-3.45E-04,...........
3983,4016.19,5.93E-01,5.93E-01,-3.44E-04,...........
3984,4017.2,5.93E-01,5.93E-01,-3.45E-04,...........
3985,4018.21,5.93E-01,5.93E-01,-3.46E-04,...........
3986,4019.22,5.93E-01,5.93E-01,-3.46E-04,...........
3987,4020.22,5.93E-01,5.93E-01,-3.45E-04,...........
3988,4021.23,5.93E-01,5.93E-01,-3.43E-04,...........
3989,4022.24,5.93E-01,5.93E-01,-3.44E-04,...........
3990,4023.25,5.93E-01,5.93E-01,-3.44E-04,...........
3991,4024.26,5.93E-01,5.93E-01,-3.46E-04,...........
3992,4025.27,5.93E-01,5.93E-01,-3.45E-04,...........
3993,4026.27,5.93E-01,5.93E-01,-3.46E-04,...........
3994,4027.28,5.93E-01,5.93E-01,-3.43E-04,...........
3995,4028.29,5.93E-01,5.93E-01,-3.45E-04,...........
3996,4029.3,5.93E-01,5.93E-01,-3.48E-04,...........
3997,4030.31,5.93E-01,5.93E-01,-3.48E-04,...........
3998,4031.32,5.93E-01,5.93E-01,-3.42E-04,...........
3999,4032.32,5.93E-01,5.93E-01,-3.39E-04,...........
4000,4033.33,5.93E-01,5.93E-01,-3.47E-04,...........
4001,4034.34,5.93E-01,5.93E-01,-3.45E-04,...........
4002,4035.35,5.93E-01,5.93E-01,-3.44E-04,...........
4003,4036.36,5.93E-01,5.93E-01,-3.40E-04,...........
4004,4037.37,5.93E-01,5.93E-01,-3.44E-04,...........
4005,4038.38,5.93E-01,5.93E-01,-3.46E-04,...........
4006,4039.38,5.93E-01,5.93E-01,-3.39E-04,...........
4007,4040.39,5.93E-01,5.93E-01,-3.40E-04,...........
4008,4041.4,5.93E-01,5.93E-01,-3.42E-04,...........
4009,4042.41,5.93E-01,5.93E-01,-3.44E-04,...........
4010,4043.42,5.93E-01,5.93E-01,-3.53E-04,...........
4011,4044.43,5.93E-01,5.93E-01,-3.51E-04,...........
4012,4045.43,5.93E-01,5.93E-01,-3.51E-04,...........
4013,4046.44,5.93E-01,5.93E-01,-3.52E-04,...........
4014,4047.45,5.93E-01,5.93E-01,-3.43E-04,...........
4015,4048.46,5.93E-01,5.93E-01,-3.42E-04,...........
4016,4049.47,5.93E-01,5.93E-01,-3.47E-04,...........
4017,4050.47,5.93E-01,5.93E-01,-3.47E-04,...........
4018,4051.48,5.93E-01,5.93E-01,-3.43E-04,...........
4019,4052.49,5.93E-01,5.93E-01,-3.43E-04,...........
4020,4053.5,5.93E-01,5.93E-01,-3.42E-04,...........
4021,4054.51,5.93E-01,5.93E-01,-3.42E-04,...........
4022,4055.52,5.93E-01,5.93E-01,-3.41E-04,...........
4023,4056.52,5.93E-01,5.93E-01,-3.46E-04,...........
4024,4057.53,5.93E-01,5.93E-01,-3.47E-04,...........
4025,4058.54,5.93E-01,5.93E-01,-3.40E-04,...........
4026,4059.55,5.93E-01,5.93E-01,-3.48E-04,...........
4027,4060.56,5.93E-01,5.93E-01,-3.49E-04,...........
4028,4061.57,5.93E-01,5.93E-01,-3.46E-04,...........
4029,4062.57,5.93E-01,5.93E-01,-3.50E-04,...........
4030,4063.58,5.93E-01,5.93E-01,-3.47E-04,...........
4031,4064.59,5.93E-01,5.93E-01,-3.41E-04,...........
4032,4065.6,5.93E-01,5.93E-01,-3.49E-04,...........
4033,4066.61,5.93E-01,5.93E-01,-3.44E-04,...........
4034,4067.62,5.93E-01,5.93E-01,-3.46E-04,...........
4035,4068.63,5.93E-01,5.93E-01,-3.47E-04,...........
4036,4069.63,5.93E-01,5.93E-01,-3.44E-04,...........
4037,4070.64,5.93E-01,5.93E-01,-3.41E-04,...........
4038,4071.65,5.93E-01,5.93E-01,-3.42E-04,...........
4039,4072.66,5.93E-01,5.93E-01,-3.44E-04,...........
4040,4073.67,5.93E-01,5.93E-01,-3.41E-04,...........
4041,4074.68,5.93E-01,5.93E-01,-3.44E-04,...........
4042,4075.68,5.93E-01,5.93E-01,-3.41E-04,...........
4043,4076.69,5.93E-01,5.93E-01,-3.42E-04,...........
4044,4077.7,5.93E-01,5.93E-01,-3.41E-04,...........
4045,4078.71,5.93E-01,5.93E-01,-3.43E-04,...........
4046,4079.72,5.93E-01,5.93E-01,-3.43E-04,...........
4047,4080.72,5.93E-01,5.93E-01,-3.46E-04,...........
4048,4081.73,5.93E-01,5.93E-01,-3.44E-04,...........
4049,4082.74,5.93E-01,5.93E-01,-3.43E-04,...........
4050,4083.75,5.93E-01,5.93E-01,-3.39E-04,...........
4051,4084.76,5.93E-01,5.93E-01,-3.38E-04,...........
4052,4085.77,5.93E-01,5.93E-01,-3.40E-04,...........
4053,4086.77,5.93E-01,5.93E-01,-3.37E-04,...........
4054,4087.78,5.93E-01,5.93E-01,-3.40E-04,...........
4055,4088.79,5.93E-01,5.93E-01,-3.43E-04,...........
4056,4089.8,5.93E-01,5.93E-01,-3.41E-04,...........
4057,4090.81,5.93E-01,5.93E-01,-3.43E-04,...........
4058,4091.82,5.93E-01,5.93E-01,-3.46E-04,...........
4059,4092.82,5.93E-01,5.93E-01,-3.45E-04,...........
4060,4093.83,5.93E-01,5.93E-01,-3.40E-04,...........
4061,4094.84,5.93E-01,5.93E-01,-3.42E-04,...........
4062,4095.85,5.93E-01,5.93E-01,-3.42E-04,...........
4063,4096.86,5.93E-01,5.93E-01,-3.43E-04,...........
4064,4097.87,5.93E-01,5.93E-01,-3.46E-04,...........
4065,4098.88,5.93E-01,5.93E-01,-3.47E-04,...........
4066,4099.88,5.93E-01,5.93E-01,-3.47E-04,...........
4067,4100.89,5.93E-01,5.93E-01,-3.42E-04,...........
4068,4101.9,5.93E-01,5.93E-01,-3.42E-04,...........
4069,4102.91,5.93E-01,5.93E-01,-3.45E-04,...........
4070,4103.92,5.93E-01,5.93E-01,-3.45E-04,...........
4071,4104.92,5.93E-01,5.93E-01,-3.47E-04,...........
4072,4105.93,5.93E-01,5.93E-01,-3.42E-04,...........
4073,4106.94,5.93E-01,5.93E-01,-3.44E-04,...........
4074,4107.95,5.93E-01,5.93E-01,-3.46E-04,...........
4075,4108.96,5.93E-01,5.93E-01,-3.45E-04,...........
4076,4109.97,5.93E-01,5.93E-01,-3.46E-04,...........
4077,4110.98,5.93E-01,5.93E-01,-3.45E-04,...........
4078,4111.98,5.93E-01,5.93E-01,-3.43E-04,...........
4079,4112.99,5.93E-01,5.93E-01,-3.43E-04,...........
4080,4114,5.93E-01,5.93E-01,-3.45E-04,...........
4081,4115.01,5.93E-01,5.93E-01,-3.46E-04,...........
4082,4116.02,5.93E-01,5.93E-01,-3.45E-04,...........
4083,4117.02,5.93E-01,5.93E-01,-3.48E-04,...........
4084,4118.03,5.93E-01,5.93E-01,-3.49E-04,...........
4085,4119.04,5.93E-01,5.93E-01,-3.46E-04,...........
4086,4120.05,5.93E-01,5.93E-01,-3.47E-04,...........
4087,4121.06,5.93E-01,5.93E-01,-3.43E-04,...........
4088,4122.07,5.93E-01,5.93E-01,-3.45E-04,...........
4089,4123.08,5.93E-01,5.93E-01,-3.53E-04,...........
4090,4124.08,5.93E-01,5.93E-01,-3.47E-04,...........
4091,4125.09,5.93E-01,5.93E-01,-3.49E-04,...........
4092,4126.1,5.93E-01,5.93E-01,-3.44E-04,...........
4093,4127.11,5.93E-01,5.93E-01,-3.38E-04,...........
4094,4128.12,5.93E-01,5.93E-01,-3.42E-04,...........
4095,4129.12,5.93E-01,5.93E-01,-3.44E-04,...........
4096,4130.13,5.93E-01,5.93E-01,-3.43E-04,...........
4097,4131.14,5.93E-01,5.93E-01,-3.37E-04,...........
4098,4132.15,5.93E-01,5.93E-01,-3.47E-04,...........
4099,4133.16,5.93E-01,5.93E-01,-3.45E-04,...........
4100,4134.17,5.93E-01,5.93E-01,-3.41E-04,...........
4101,4135.17,5.93E-01,5.93E-01,-3.46E-04,...........
4102,4136.18,5.93E-01,5.93E-01,-3.48E-04,...........
4103,4137.19,5.93E-01,5.93E-01,-3.42E-04,...........
4104,4138.2,5.93E-01,5.93E-01,-3.42E-04,...........
4105,4139.21,5.93E-01,5.93E-01,-3.46E-04,...........
4106,4140.22,5.93E-01,5.93E-01,-3.42E-04,...........
4107,4141.23,5.93E-01,5.93E-01,-3.42E-04,...........
4108,4142.23,5.93E-01,5.93E-01,-3.43E-04,...........
4109,4143.24,5.93E-01,5.93E-01,-3.37E-04,...........
4110,4144.25,5.93E-01,5.93E-01,-3.42E-04,...........
4111,4145.26,5.93E-01,5.93E-01,-3.40E-04,...........
4112,4146.27,5.93E-01,5.93E-01,-3.41E-04,...........
4113,4147.27,5.93E-01,5.93E-01,-3.46E-04,...........
4114,4148.28,5.93E-01,5.93E-01,-3.41E-04,...........
4115,4149.29,5.93E-01,5.93E-01,-3.42E-04,...........
4116,4150.3,5.93E-01,5.93E-01,-3.41E-04,...........
4117,4151.31,5.93E-01,5.93E-01,-3.38E-04,...........
4118,4152.32,5.93E-01,5.93E-01,-3.43E-04,...........
4119,4153.33,5.93E-01,5.93E-01,-3.44E-04,...........
4120,4154.33,5.93E-01,5.93E-01,-3.42E-04,...........
4121,4155.34,5.93E-01,5.93E-01,-3.39E-04,...........
4122,4156.35,5.93E-01,5.93E-01,-3.36E-04,...........
4123,4157.36,5.93E-01,5.93E-01,-3.40E-04,...........
4124,4158.37,5.93E-01,5.93E-01,-3.32E-04,...........
4125,4159.38,5.93E-01,5.93E-01,-3.36E-04,...........
4126,4160.38,5.93E-01,5.93E-01,-3.40E-04,...........
4127,4161.39,5.93E-01,5.93E-01,-3.43E-04,...........
4128,4162.4,5.93E-01,5.93E-01,-3.38E-04,...........
4129,4163.41,5.93E-01,5.93E-01,-3.35E-04,...........
4130,4164.42,5.93E-01,5.93E-01,-3.37E-04,...........
4131,4165.42,5.93E-01,5.93E-01,-3.40E-04,...........
4132,4166.43,5.93E-01,5.93E-01,-3.37E-04,...........
4133,4167.44,5.93E-01,5.93E-01,-3.36E-04,...........
4134,4168.45,5.93E-01,5.93E-01,-3.35E-04,...........
4135,4169.46,5.93E-01,5.93E-01,-3.34E-04,...........
4136,4170.47,5.93E-01,5.93E-01,-3.38E-04,...........
4137,4171.48,5.93E-01,5.93E-01,-3.39E-04,...........
4138,4172.48,5.93E-01,5.93E-01,-3.40E-04,...........
4139,4173.49,5.93E-01,5.93E-01,-3.34E-04,...........
4140,4174.5,5.93E-01,5.93E-01,-3.41E-04,...........
4141,4175.51,5.93E-01,5.93E-01,-3.40E-04,...........
4142,4176.52,5.93E-01,5.93E-01,-3.43E-04,...........
4143,4177.52,5.93E-01,5.93E-01,-3.36E-04,...........
4144,4178.53,5.93E-01,5.93E-01,-3.36E-04,...........
4145,4179.54,5.93E-01,5.93E-01,-3.38E-04,...........
4146,4180.55,5.93E-01,5.93E-01,-3.34E-04,...........
4147,4181.56,5.93E-01,5.93E-01,-3.41E-04,...........
4148,4182.57,5.93E-01,5.93E-01,-3.36E-04,...........
4149,4183.58,5.93E-01,5.93E-01,-3.38E-04,...........
4150,4184.58,5.93E-01,5.93E-01,-3.40E-04,...........
4151,4185.59,5.93E-01,5.93E-01,-3.34E-04,...........
4152,4186.6,5.93E-01,5.93E-01,-3.37E-04,...........
4153,4187.61,5.93E-01,5.93E-01,-3.37E-04,...........
4154,4188.62,5.93E-01,5.93E-01,-3.36E-04,...........
4155,4189.63,5.93E-01,5.93E-01,-3.36E-04,...........
4156,4190.63,5.93E-01,5.93E-01,-3.36E-04,...........
4157,4191.64,5.93E-01,5.93E-01,-3.38E-04,...........
4158,4192.65,5.93E-01,5.93E-01,-3.36E-04,...........
4159,4193.66,5.93E-01,5.93E-01,-3.34E-04,...........
4160,4194.67,5.93E-01,5.93E-01,-3.39E-04,...........
4161,4195.67,5.93E-01,5.93E-01,-3.38E-04,...........
4162,4196.68,5.93E-01,5.93E-01,-3.34E-04,...........
4163,4197.69,5.93E-01,5.93E-01,-3.39E-04,...........
4164,4198.7,5.93E-01,5.93E-01,-3.40E-04,...........
4165,4199.71,5.93E-01,5.93E-01,-3.35E-04,...........
4166,4200.72,5.93E-01,5.93E-01,-3.33E-04,...........
4167,4201.73,5.93E-01,5.93E-01,-3.40E-04,...........
4168,4202.73,5.93E-01,5.93E-01,-3.35E-04,...........
4169,4203.74,5.93E-01,5.93E-01,-3.38E-04,...........
4170,4204.75,5.93E-01,5.93E-01,-3.36E-04,...........
4171,4205.76,5.93E-01,5.93E-01,-3.40E-04,...........
4172,4206.77,5.93E-01,5.93E-01,-3.40E-04,...........
4173,4207.77,5.93E-01,5.93E-01,-3.42E-04,...........
4174,4208.78,5.93E-01,5.93E-01,-3.37E-04,...........
4175,4209.79,5.93E-01,5.93E-01,-3.41E-04,...........
4176,4210.8,5.93E-01,5.93E-01,-3.39E-04,...........
4177,4211.81,5.93E-01,5.93E-01,-3.42E-04,...........
4178,4212.82,5.93E-01,5.93E-01,-3.42E-04,...........
4179,4213.83,5.93E-01,5.93E-01,-3.42E-04,...........
4180,4214.83,5.93E-01,5.93E-01,-3.43E-04,...........
4181,4215.84,5.93E-01,5.93E-01,-3.42E-04,...........
4182,4216.85,5.93E-01,5.93E-01,-3.45E-04,...........
4183,4217.86,5.93E-01,5.93E-01,-3.44E-04,...........
4184,4218.87,5.93E-01,5.93E-01,-3.41E-04,...........
4185,4219.87,5.93E-01,5.93E-01,-3.43E-04,...........
4186,4220.88,5.93E-01,5.93E-01,-3.43E-04,...........
4187,4221.89,5.93E-01,5.93E-01,-3.42E-04,...........
4188,4222.9,5.93E-01,5.93E-01,-3.39E-04,...........
4189,4223.91,5.93E-01,5.93E-01,-3.45E-04,...........
4190,4224.92,5.93E-01,5.93E-01,-3.39E-04,...........
4191,4225.92,5.93E-01,5.93E-01,-3.45E-04,...........
4192,4226.93,5.93E-01,5.93E-01,-3.44E-04,...........
4193,4227.94,5.93E-01,5.93E-01,-3.48E-04,...........
4194,4228.95,5.93E-01,5.93E-01,-3.41E-04,...........
4195,4229.96,5.93E-01,5.93E-01,-3.46E-04,...........
4196,4230.97,5.93E-01,5.93E-01,-3.41E-04,...........
4197,4231.98,5.93E-01,5.93E-01,-3.38E-04,...........
4198,4232.98,5.93E-01,5.93E-01,-3.45E-04,...........
4199,4233.99,5.93E-01,5.93E-01,-3.40E-04,...........
4200,4235,5.93E-01,5.93E-01,-3.47E-04,...........
4201,4236.01,5.93E-01,5.93E-01,-3.47E-04,...........
4202,4237.02,5.93E-01,5.93E-01,-3.48E-04,...........
4203,4238.02,5.93E-01,5.93E-01,-3.48E-04,...........
4204,4239.03,5.93E-01,5.93E-01,-3.52E-04,...........
4205,4240.04,5.93E-01,5.93E-01,-3.49E-04,...........
4206,4241.05,5.93E-01,5.93E-01,-3.41E-04,...........
4207,4242.06,5.93E-01,5.93E-01,-3.43E-04,...........
4208,4243.07,5.93E-01,5.93E-01,-3.40E-04,...........
4209,4244.08,5.93E-01,5.93E-01,-3.43E-04,...........
4210,4245.08,5.93E-01,5.93E-01,-3.41E-04,...........
4211,4246.09,5.93E-01,5.93E-01,-3.46E-04,...........
4212,4247.1,5.93E-01,5.93E-01,-3.37E-04,...........
4213,4248.11,5.93E-01,5.93E-01,-3.43E-04,...........
4214,4249.12,5.93E-01,5.93E-01,-3.42E-04,...........
4215,4250.13,5.93E-01,5.93E-01,-3.36E-04,...........
4216,4251.13,5.93E-01,5.93E-01,-3.39E-04,...........
4217,4252.14,5.93E-01,5.93E-01,-3.39E-04,...........
4218,4253.15,5.93E-01,5.93E-01,-3.41E-04,...........
4219,4254.16,5.93E-01,5.93E-01,-3.38E-04,...........
4220,4255.17,5.93E-01,5.93E-01,-3.33E-04,...........
4221,4256.17,5.93E-01,5.93E-01,-3.40E-04,...........
4222,4257.18,5.93E-01,5.93E-01,-3.38E-04,...........
4223,4258.19,5.93E-01,5.93E-01,-3.43E-04,...........
4224,4259.2,5.93E-01,5.93E-01,-3.38E-04,...........
4225,4260.21,5.93E-01,5.93E-01,-3.39E-04,...........
4226,4261.22,5.93E-01,5.93E-01,-3.36E-04,...........
4227,4262.23,5.93E-01,5.93E-01,-3.41E-04,...........
4228,4263.23,5.93E-01,5.93E-01,-3.44E-04,...........
4229,4264.24,5.93E-01,5.93E-01,-3.43E-04,...........
4230,4265.25,5.93E-01,5.93E-01,-3.45E-04,...........
4231,4266.26,5.93E-01,5.93E-01,-3.45E-04,...........
4232,4267.27,5.93E-01,5.93E-01,-3.43E-04,...........
4233,4268.27,5.93E-01,5.93E-01,-3.46E-04,...........
4234,4269.28,5.93E-01,5.93E-01,-3.46E-04,...........
4235,4270.29,5.93E-01,5.93E-01,-3.41E-04,...........
4236,4271.3,5.93E-01,5.93E-01,-3.44E-04,...........
4237,4272.31,5.93E-01,5.93E-01,-3.47E-04,...........
4238,4273.32,5.93E-01,5.93E-01,-3.49E-04,...........
4239,4274.33,5.93E-01,5.93E-01,-3.48E-04,...........
4240,4275.33,5.93E-01,5.93E-01,-3.47E-04,...........
4241,4276.34,5.93E-01,5.93E-01,-3.44E-04,...........
4242,4277.35,5.93E-01,5.93E-01,-3.41E-04,...........
4243,4278.36,5.93E-01,5.93E-01,-3.44E-04,...........
4244,4279.37,5.93E-01,5.93E-01,-3.42E-04,...........
4245,4280.38,5.93E-01,5.93E-01,-3.48E-04,...........
4246,4281.38,5.93E-01,5.93E-01,-3.44E-04,...........
4247,4282.39,5.93E-01,5.93E-01,-3.45E-04,...........
4248,4283.4,5.93E-01,5.93E-01,-3.42E-04,...........
4249,4284.41,5.93E-01,5.93E-01,-3.43E-04,...........
4250,4285.42,5.93E-01,5.93E-01,-3.43E-04,...........
4251,4286.42,5.93E-01,5.93E-01,-3.45E-04,...........
4252,4287.43,5.93E-01,5.93E-01,-3.47E-04,...........
4253,4288.44,5.93E-01,5.93E-01,-3.40E-04,...........
4254,4289.45,5.93E-01,5.93E-01,-3.44E-04,...........
4255,4290.46,5.93E-01,5.93E-01,-3.42E-04,...........
4256,4291.47,5.93E-01,5.93E-01,-3.38E-04,...........
4257,4292.48,5.93E-01,5.93E-01,-3.45E-04,...........
4258,4293.48,5.93E-01,5.93E-01,-3.46E-04,...........
4259,4294.49,5.93E-01,5.93E-01,-3.48E-04,...........
4260,4295.5,5.93E-01,5.93E-01,-3.41E-04,...........
4261,4296.51,5.93E-01,5.93E-01,-3.42E-04,...........
4262,4297.52,5.93E-01,5.93E-01,-3.44E-04,...........
4263,4298.52,5.93E-01,5.93E-01,-3.41E-04,...........
4264,4299.53,5.93E-01,5.93E-01,-3.44E-04,...........
4265,4300.54,5.93E-01,5.93E-01,-3.42E-04,...........
4266,4301.55,5.93E-01,5.93E-01,-3.45E-04,...........
4267,4302.56,5.93E-01,5.93E-01,-3.46E-04,...........
4268,4303.57,5.93E-01,5.93E-01,-3.44E-04,...........
4269,4304.58,5.93E-01,5.93E-01,-3.46E-04,...........
4270,4305.58,5.93E-01,5.93E-01,-3.42E-04,...........
4271,4306.59,5.93E-01,5.93E-01,-3.42E-04,...........
4272,4307.6,5.93E-01,5.93E-01,-3.41E-04,...........
4273,4308.61,5.93E-01,5.93E-01,-3.41E-04,...........
4274,4309.62,5.93E-01,5.93E-01,-3.38E-04,...........
4275,4310.63,5.93E-01,5.93E-01,-3.40E-04,...........
4276,4311.63,5.93E-01,5.93E-01,-3.45E-04,...........
4277,4312.64,5.93E-01,5.93E-01,-3.46E-04,...........
4278,4313.65,5.93E-01,5.93E-01,-3.48E-04,...........
4279,4314.66,5.93E-01,5.93E-01,-3.46E-04,...........
4280,4315.67,5.93E-01,5.93E-01,-3.42E-04,...........
4281,4316.67,5.93E-01,5.93E-01,-3.41E-04,...........
4282,4317.68,5.93E-01,5.93E-01,-3.38E-04,...........
4283,4318.69,5.93E-01,5.93E-01,-3.39E-04,...........
4284,4319.7,5.93E-01,5.93E-01,-3.40E-04,...........
4285,4320.71,5.93E-01,5.93E-01,-3.39E-04,...........
4286,4321.72,5.93E-01,5.93E-01,-3.39E-04,...........
