#,s,V vs. Ref.,V,V,bits
104,104.867,5.85E-01,5.85E-01,-3.40E-04,...........
105,105.875,5.85E-01,5.85E-01,-3.39E-04,...........
106,106.883,5.85E-01,5.86E-01,-3.40E-04,...........
107,107.892,5.85E-01,5.86E-01,-3.40E-04,...........
108,108.9,5.85E-01,5.86E-01,-3.36E-04,...........
109,109.908,5.86E-01,5.86E-01,-3.39E-04,...........
110,110.917,5.86E-01,5.86E-01,-3.37E-04,...........
111,111.925,5.86E-01,5.86E-01,-3.36E-04,...........
112,112.933,5.86E-01,5.86E-01,-3.41E-04,...........
113,113.942,5.86E-01,5.86E-01,-3.38E-04,...........
114,114.95,5.86E-01,5.86E-01,-3.38E-04,...........
115,115.958,5.86E-01,5.86E-01,-3.36E-04,...........
116,116.967,5.86E-01,5.86E-01,-3.36E-04,...........
117,117.975,5.86E-01,5.86E-01,-3.37E-04,...........
118,118.983,5.86E-01,5.86E-01,-3.40E-04,...........
119,119.992,5.86E-01,5.86E-01,-3.41E-04,...........
120,121,5.86E-01,5.86E-01,-3.40E-04,...........
121,122.008,5.86E-01,5.86E-01,-3.37E-04,...........
122,123.017,5.86E-01,5.86E-01,-3.37E-04,...........
123,124.025,5.86E-01,5.86E-01,-3.41E-04,...........
124,125.033,5.86E-01,5.86E-01,-3.36E-04,...........
125,126.042,5.86E-01,5.86E-01,-3.37E-04,...........
126,127.05,5.86E-01,5.86E-01,-3.37E-04,...........
127,128.058,5.86E-01,5.86E-01,-3.40E-04,...........
128,129.067,5.86E-01,5.86E-01,-3.34E-04,...........
129,130.075,5.86E-01,5.86E-01,-3.38E-04,...........
130,131.083,5.86E-01,5.86E-01,-3.31E-04,...........
131,132.092,5.86E-01,5.86E-01,-3.35E-04,...........
132,133.1,5.86E-01,5.86E-01,-3.36E-04,...........
133,134.108,5.86E-01,5.86E-01,-3.37E-04,...........
134,135.117,5.86E-01,5.86E-01,-3.35E-04,...........
135,136.125,5.86E-01,5.86E-01,-3.36E-04,...........
136,137.133,5.86E-01,5.86E-01,-3.36E-04,...........
137,138.142,5.86E-01,5.86E-01,-3.36E-04,...........
138,139.15,5.86E-01,5.86E-01,-3.35E-04,...........
139,140.158,5.86E-01,5.86E-01,-3.33E-04,...........
140,141.167,5.86E-01,5.86E-01,-3.36E-04,...........
141,142.175,5.86E-01,5.86E-01,-3.40E-04,...........
142,143.183,5.86E-01,5.86E-01,-3.39E-04,...........
143,144.192,5.86E-01,5.86E-01,-3.35E-04,...........
144,145.2,5.86E-01,5.86E-01,-3.34E-04,...........
145,146.208,5.86E-01,5.86E-01,-3.32E-04,...........
146,147.217,5.86E-01,5.86E-01,-3.34E-04,...........
147,148.225,5.86E-01,5.86E-01,-3.28E-04,...........
148,149.233,5.86E-01,5.86E-01,-3.32E-04,...........
149,150.242,5.86E-01,5.86E-01,-3.33E-04,...........
150,151.25,5.86E-01,5.86E-01,-3.30E-04,...........
151,152.258,5.86E-01,5.86E-01,-3.28E-04,...........
152,153.267,5.86E-01,5.86E-01,-3.30E-04,...........
153,154.275,5.86E-01,5.86E-01,-3.30E-04,...........
154,155.283,5.86E-01,5.86E-01,-3.32E-04,...........
155,156.292,5.86E-01,5.86E-01,-3.35E-04,...........
156,157.3,5.86E-01,5.86E-01,-3.32E-04,...........
157,158.308,5.86E-01,5.86E-01,-3.34E-04,...........
158,159.317,5.86E-01,5.86E-01,-3.29E-04,...........
159,160.325,5.86E-01,5.86E-01,-3.30E-04,...........
160,161.333,5.86E-01,5.86E-01,-3.33E-04,...........
161,162.342,5.86E-01,5.86E-01,-3.34E-04,...........
162,163.35,5.86E-01,5.86E-01,-3.30E-04,...........
163,164.358,5.86E-01,5.86E-01,-3.37E-04,...........
164,165.367,5.86E-01,5.86E-01,-3.32E-04,...........
165,166.375,5.86E-01,5.86E-01,-3.25E-04,...........
166,167.383,5.86E-01,5.86E-01,-3.33E-04,...........
167,168.392,5.86E-01,5.86E-01,-3.32E-04,...........
168,169.4,5.86E-01,5.86E-01,-3.33E-04,...........
169,170.408,5.86E-01,5.87E-01,-3.31E-04,...........
170,171.417,5.86E-01,5.87E-01,-3.31E-04,...........
171,172.425,5.86E-01,5.87E-01,-3.34E-04,...........
172,173.433,5.87E-01,5.87E-01,-3.31E-04,...........
173,174.442,5.87E-01,5.87E-01,-3.34E-04,...........
174,175.45,5.87E-01,5.87E-01,-3.31E-04,...........
175,176.458,5.87E-01,5.87E-01,-3.27E-04,...........
176,177.467,5.87E-01,5.87E-01,-3.33E-04,...........
177,178.475,5.87E-01,5.87E-01,-3.35E-04,...........
178,179.483,5.87E-01,5.87E-01,-3.29E-04,...........
179,180.492,5.87E-01,5.87E-01,-3.36E-04,...........
180,181.5,5.87E-01,5.87E-01,-3.33E-04,...........
181,182.508,5.87E-01,5.87E-01,-3.27E-04,...........
182,183.517,5.87E-01,5.87E-01,-3.31E-04,...........
183,184.525,5.87E-01,5.87E-01,-3.32E-04,...........
184,185.533,5.87E-01,5.87E-01,-3.29E-04,...........
185,186.542,5.87E-01,5.87E-01,-3.31E-04,...........
186,187.55,5.87E-01,5.87E-01,-3.31E-04,...........
187,188.558,5.87E-01,5.87E-01,-3.27E-04,...........
188,189.567,5.87E-01,5.87E-01,-3.29E-04,...........
189,190.575,5.87E-01,5.87E-01,-3.35E-04,...........
190,191.583,5.87E-01,5.87E-01,-3.27E-04,...........
191,192.592,5.87E-01,5.87E-01,-3.34E-04,...........
192,193.6,5.87E-01,5.87E-01,-3.34E-04,...........
193,194.608,5.87E-01,5.87E-01,-3.29E-04,...........
194,195.617,5.87E-01,5.87E-01,-3.30E-04,...........
195,196.625,5.87E-01,5.87E-01,-3.34E-04,...........
196,197.633,5.87E-01,5.87E-01,-3.36E-04,...........
197,198.642,5.87E-01,5.87E-01,-3.35E-04,...........
198,199.65,5.87E-01,5.87E-01,-3.36E-04,...........
199,200.658,5.87E-01,5.87E-01,-3.36E-04,...........
200,201.667,5.87E-01,5.87E-01,-3.32E-04,...........
201,202.675,5.87E-01,5.87E-01,-3.34E-04,...........
202,203.683,5.87E-01,5.87E-01,-3.31E-04,...........
203,204.692,5.87E-01,5.87E-01,-3.31E-04,...........
204,205.7,5.87E-01,5.87E-01,-3.31E-04,...........
205,206.708,5.87E-01,5.87E-01,-3.36E-04,...........
206,207.717,5.87E-01,5.87E-01,-3.36E-04,...........
207,208.725,5.87E-01,5.87E-01,-3.35E-04,...........
208,209.733,5.87E-01,5.87E-01,-3.28E-04,...........
209,210.742,5.87E-01,5.87E-01,-3.35E-04,...........
210,211.75,5.87E-01,5.87E-01,-3.34E-04,...........
211,212.758,5.87E-01,5.87E-01,-3.34E-04,...........
212,213.767,5.87E-01,5.87E-01,-3.32E-04,...........
213,214.775,5.87E-01,5.87E-01,-3.34E-04,...........
214,215.783,5.87E-01,5.88E-01,-3.47E-04,...........
215,216.792,5.87E-01,5.88E-01,-3.37E-04,...........
216,217.8,5.87E-01,5.88E-01,-3.38E-04,...........
217,218.808,5.88E-01,5.88E-01,-3.38E-04,...........
218,219.817,5.88E-01,5.88E-01,-3.35E-04,...........
219,220.825,5.88E-01,5.88E-01,-3.31E-04,...........
220,221.833,5.88E-01,5.88E-01,-3.34E-04,...........
221,222.842,5.88E-01,5.88E-01,-3.32E-04,...........
222,223.85,5.88E-01,5.88E-01,-3.29E-04,...........
223,224.858,5.88E-01,5.88E-01,-3.31E-04,...........
224,225.867,5.88E-01,5.88E-01,-3.34E-04,...........
225,226.875,5.88E-01,5.88E-01,-3.34E-04,...........
226,227.883,5.88E-01,5.88E-01,-3.38E-04,...........
227,228.892,5.88E-01,5.88E-01,-3.37E-04,...........
